keyword,raw_counts,frequency,keyness
條,119,0.008554381424771763,0.0
修正,101,0.007260441377327295,0.0
是否,98,0.007044784702753217,0.0
當,96,0.006901013586370498,0.0
公決,95,0.006829128028179139,19.0
委員,95,0.006829128028179139,0.0
本院,95,0.006829128028179139,19.0
李昆,95,0.006829128028179139,19.0
草案,93,0.00668535691179642,0.0
爰,88,0.006325929120839623,8.8
條文,85,0.006110272446265545,0.2
此,78,0.005607073538926029,0.0
敬請,77,0.00553518798073467,1.0
澤,77,0.00553518798073467,7.6000000000000005
者,74,0.005319531306160592,0.0
規定,70,0.005031989073395155,0.0
擬具,59,0.004241247933290202,2.8000000000000003
障礙,52,0.0037380490259506867,0.0
鑒於,49,0.0035223923513766084,1.2000000000000002
邱志偉,47,0.00337862123499389,9.4
相關,44,0.0031629645604198116,0.0
保障,43,0.0030910790022284523,0.0
應,41,0.0029473078858457337,0.0
權益,41,0.0029473078858457337,0.0
勞工,40,0.0028754223276543744,0.0
針對,39,0.0028035367694630147,0.0
社會,38,0.0027316512112716554,0.0
身心,38,0.0027316512112716554,0.0
人員,36,0.002587880094888937,0.0
服務,35,0.0025159945366975776,0.0
運輸,34,0.0024441089785062183,0.0
提出,33,0.0023722234203148586,0.0
政府,32,0.0023003378621234993,0.0
地方,31,0.00222845230393214,0.0
機關,30,0.0021565667457407807,0.0
惟,29,0.0020846811875494214,0.0
無法,29,0.0020846811875494214,0.0
許智,29,0.0020846811875494214,2.8000000000000003
其,28,0.002012795629358062,0.0
安全,28,0.002012795629358062,0.0
目前,28,0.002012795629358062,0.0
蔡其昌,28,0.002012795629358062,5.6000000000000005
劉,27,0.0019409100711667026,0.0
提供,27,0.0019409100711667026,0.0
條例,27,0.0019409100711667026,0.0
趙天麟,27,0.0019409100711667026,5.4
且,26,0.0018690245129753434,0.0
民眾,26,0.0018690245129753434,0.0
我國,25,0.0017971389547839839,0.0
法,25,0.0017971389547839839,0.0
現行,25,0.0017971389547839839,0.0
發展,25,0.0017971389547839839,0.0
造成,25,0.0017971389547839839,0.0
