keyword,raw_counts,frequency,keyness
都市,10,0.02506265664160401,0.0
機關,6,0.015037593984962405,0.0
環境,6,0.015037593984962405,0.0
內政部,4,0.010025062656641603,0.0
執行,4,0.010025062656641603,0.0
檢舉,4,0.010025062656641603,0.0
獎金,4,0.010025062656641603,0.0
台灣,3,0.007518796992481203,0.0
空間,3,0.007518796992481203,0.0
設施,3,0.007518796992481203,0.0
防災,3,0.007518796992481203,0.0
三,2,0.005012531328320802,0.0
修正,2,0.005012531328320802,0.0
公決,2,0.005012531328320802,0.4
其他,2,0.005012531328320802,0.0
品質,2,0.005012531328320802,0.0
國土,2,0.005012531328320802,0.0
地區,2,0.005012531328320802,0.0
地方,2,0.005012531328320802,0.0
委員,2,0.005012531328320802,0.0
建築,2,0.005012531328320802,0.0
我國,2,0.005012531328320802,0.0
擬具,2,0.005012531328320802,0.0
敬請,2,0.005012531328320802,0.0
整合,2,0.005012531328320802,0.0
整體,2,0.005012531328320802,0.0
是否,2,0.005012531328320802,0.0
暫行,2,0.005012531328320802,0.0
有效,2,0.005012531328320802,0.0
本院,2,0.005012531328320802,0.4
條例,2,0.005012531328320802,0.0
檢舉人,2,0.005012531328320802,0.4
此,2,0.005012531328320802,0.0
浮濫,2,0.005012531328320802,0.0
營造,2,0.005012531328320802,0.0
爰,2,0.005012531328320802,0.2
王,2,0.005012531328320802,0.0
生活,2,0.005012531328320802,0.0
由,2,0.005012531328320802,0.0
當,2,0.005012531328320802,0.0
發展,2,0.005012531328320802,0.0
發展局,2,0.005012531328320802,0.4
級,2,0.005012531328320802,0.0
罰鍰,2,0.005012531328320802,0.0
草案,2,0.005012531328320802,0.0
落實,2,0.005012531328320802,0.0
處理,2,0.005012531328320802,0.0
規劃,2,0.005012531328320802,0.0
許多,2,0.005012531328320802,0.0
財務,2,0.005012531328320802,0.0
造成,2,0.005012531328320802,0.0
進士,2,0.005012531328320802,0.0
道路,2,0.005012531328320802,0.0
一方面,1,0.002506265664160401,0.0
下轄,1,0.002506265664160401,0.2
不利,1,0.002506265664160401,0.0
不足,1,0.002506265664160401,0.0
且,1,0.002506265664160401,0.0
中央政府,1,0.002506265664160401,0.2
主管,1,0.002506265664160401,0.0
予以,1,0.002506265664160401,0.0
事件,1,0.002506265664160401,0.0
亦,1,0.002506265664160401,0.0
人力,1,0.002506265664160401,0.0
人口,1,0.002506265664160401,0.0
人本,1,0.002506265664160401,0.0
人行,1,0.002506265664160401,0.0
以至,1,0.002506265664160401,0.0
使用,1,0.002506265664160401,0.0
俾,1,0.002506265664160401,0.0
俾利,1,0.002506265664160401,0.2
健全,1,0.002506265664160401,0.0
優質,1,0.002506265664160401,0.0
內,1,0.002506265664160401,0.0
全國,1,0.002506265664160401,0.0
全面性,1,0.002506265664160401,0.0
公共,1,0.002506265664160401,0.0
出現,1,0.002506265664160401,0.0
制度,1,0.002506265664160401,0.0
匿名,1,0.002506265664160401,0.0
區域,1,0.002506265664160401,0.0
協助,1,0.002506265664160401,0.0
受損,1,0.002506265664160401,0.0
另一方面,1,0.002506265664160401,0.0
商家,1,0.002506265664160401,0.0
商業,1,0.002506265664160401,0.0
商譽,1,0.002506265664160401,0.2
嚴重,1,0.002506265664160401,0.0
因此,1,0.002506265664160401,0.0
因為,1,0.002506265664160401,0.0
土地,1,0.002506265664160401,0.0
城市,1,0.002506265664160401,0.0
執行面,1,0.002506265664160401,0.2
基礎,1,0.002506265664160401,0.0
多起,1,0.002506265664160401,0.2
如今,1,0.002506265664160401,0.0
如何,1,0.002506265664160401,0.0
實,1,0.002506265664160401,0.0
專責,1,0.002506265664160401,0.0
對於,1,0.002506265664160401,0.0
導致,1,0.002506265664160401,0.0
居住,1,0.002506265664160401,0.0
屢次,1,0.002506265664160401,0.0
層級,1,0.002506265664160401,0.0
工業區,1,0.002506265664160401,0.0
工程,1,0.002506265664160401,0.0
已為,1,0.002506265664160401,0.2
帶動,1,0.002506265664160401,0.0
常設,1,0.002506265664160401,0.0
建立,1,0.002506265664160401,0.0
建設,1,0.002506265664160401,0.0
徹底,1,0.002506265664160401,0.0
必須,1,0.002506265664160401,0.0
快樂,1,0.002506265664160401,0.0
情況,1,0.002506265664160401,0.0
惟,1,0.002506265664160401,0.0
意願,1,0.002506265664160401,0.0
應當,1,0.002506265664160401,0.0
成本,1,0.002506265664160401,0.0
技術,1,0.002506265664160401,0.0
抗災,1,0.002506265664160401,0.2
推動,1,0.002506265664160401,0.0
提出,1,0.002506265664160401,0.0
提升,1,0.002506265664160401,0.0
提高,1,0.002506265664160401,0.0
損失,1,0.002506265664160401,0.0
攸關,1,0.002506265664160401,0.0
改善,1,0.002506265664160401,0.0
改造,1,0.002506265664160401,0.0
攻擊,1,0.002506265664160401,0.0
政府,1,0.002506265664160401,0.0
政策,1,0.002506265664160401,0.0
效益,1,0.002506265664160401,0.0
景觀,1,0.002506265664160401,0.0
更,1,0.002506265664160401,0.0
本席,1,0.002506265664160401,0.0
查出,1,0.002506265664160401,0.0
條,1,0.002506265664160401,0.0
條文,1,0.002506265664160401,0.0
業務,1,0.002506265664160401,0.0
極端,1,0.002506265664160401,0.0
正常,1,0.002506265664160401,0.0
歷年來,1,0.002506265664160401,0.0
民眾,1,0.002506265664160401,0.0
氣候,1,0.002506265664160401,0.0
法令,1,0.002506265664160401,0.0
清泉,1,0.002506265664160401,0.0
減災,1,0.002506265664160401,0.2
減碳,1,0.002506265664160401,0.2
災害,1,0.002506265664160401,0.0
災防及,1,0.002506265664160401,0.2
無,1,0.002506265664160401,0.0
無障礙,1,0.002506265664160401,0.0
熱島效應,1,0.002506265664160401,0.2
特,1,0.002506265664160401,0.0
獲得,1,0.002506265664160401,0.0
現行,1,0.002506265664160401,0.0
理念,1,0.002506265664160401,0.0
環節,1,0.002506265664160401,0.0
異常,1,0.002506265664160401,0.0
相同,1,0.002506265664160401,0.0
相當,1,0.002506265664160401,0.0
相關,1,0.002506265664160401,0.0
稅捐,1,0.002506265664160401,0.0
稽查,1,0.002506265664160401,0.0
窘境,1,0.002506265664160401,0.0
第三,1,0.002506265664160401,0.0
節制,1,0.002506265664160401,0.0
節能,1,0.002506265664160401,0.0
納稅,1,0.002506265664160401,0.0
組織法,1,0.002506265664160401,0.0
經濟,1,0.002506265664160401,0.0
經營,1,0.002506265664160401,0.0
綠色,1,0.002506265664160401,0.0
維持,1,0.002506265664160401,0.0
網型,1,0.002506265664160401,0.2
職掌,1,0.002506265664160401,0.0
自行車道,1,0.002506265664160401,0.2
致使,1,0.002506265664160401,0.0
蘇,1,0.002506265664160401,0.0
行為,1,0.002506265664160401,0.0
衍生,1,0.002506265664160401,0.0
計畫,1,0.002506265664160401,0.0
計畫區,1,0.002506265664160401,0.2
設立,1,0.002506265664160401,0.0
設置,1,0.002506265664160401,0.0
設計,1,0.002506265664160401,0.0
誠實,1,0.002506265664160401,0.0
課題,1,0.002506265664160401,0.0
變遷,1,0.002506265664160401,0.0
讓,1,0.002506265664160401,0.0
轄下,1,0.002506265664160401,0.2
逃漏稅,1,0.002506265664160401,0.2
通勤,1,0.002506265664160401,0.0
通學,1,0.002506265664160401,0.0
進行,1,0.002506265664160401,0.0
遭受,1,0.002506265664160401,0.0
避免,1,0.002506265664160401,0.0
部會,1,0.002506265664160401,0.0
都會,1,0.002506265664160401,0.0
配合,1,0.002506265664160401,0.0
重要,1,0.002506265664160401,0.0
重視,1,0.002506265664160401,0.0
鑑於,1,0.002506265664160401,0.0
鑒於,1,0.002506265664160401,0.0
闢建,1,0.002506265664160401,0.0
降低,1,0.002506265664160401,0.0
集聚,1,0.002506265664160401,0.0
雖,1,0.002506265664160401,0.0
面對,1,0.002506265664160401,0.0
體系,1,0.002506265664160401,0.0
高額,1,0.002506265664160401,0.0
