keyword,raw_counts,frequency,keyness
條,137,0.010010960906101572,0.0
是否,107,0.007818779685787359,0.0
條文,107,0.007818779685787359,0.2
委員,106,0.007745706978443552,0.0
俊,105,0.0076726342710997444,21.0
俋,105,0.0076726342710997444,21.0
本院,105,0.0076726342710997444,21.0
李,105,0.0076726342710997444,0.0
當,104,0.007599561563755937,0.0
公決,103,0.00752648885641213,20.6
敬請,103,0.00752648885641213,1.4000000000000001
爰,103,0.00752648885641213,10.200000000000001
修正,100,0.007307270734380708,0.0
草案,75,0.005480453050785532,0.0
鑒於,73,0.005334307636097917,1.8
擬具,71,0.005188162221410303,3.4000000000000004
機關,64,0.004676653270003653,0.0
規定,58,0.004238217025940811,0.0
其,56,0.004092071611253197,0.0
現行,54,0.003945926196565583,0.0
人民,52,0.0037997807818779686,0.0
我國,48,0.0035074899525027402,0.0
政府,46,0.0033613445378151263,0.0
選舉,44,0.003215199123127512,0.0
行政,42,0.003069053708439898,0.0
保障,38,0.0027767628790646695,0.0
國家,38,0.0027767628790646695,0.0
惟,36,0.002630617464377055,0.0
者,36,0.002630617464377055,0.0
應,35,0.0025575447570332483,0.0
亦,34,0.002484472049689441,0.0
相關,34,0.002484472049689441,0.0
條例,33,0.002411399342345634,0.0
委員會,31,0.00226525392765802,0.0
未,31,0.00226525392765802,0.0
法律,31,0.00226525392765802,0.0
社會,31,0.00226525392765802,0.0
法,30,0.0021921812203142127,0.0
中央,28,0.0020460358056265983,0.0
制度,28,0.0020460358056265983,0.0
權益,28,0.0020460358056265983,0.0
仍,25,0.001826817683595177,0.0
對於,25,0.001826817683595177,0.0
此,25,0.001826817683595177,0.0
程序,22,0.001607599561563756,0.0
政治,21,0.001534526854219949,0.0
案,21,0.001534526854219949,0.0
葉宜津,21,0.001534526854219949,4.2
選務,21,0.001534526854219949,0.4
且,20,0.0014614541468761417,0.0
人員,20,0.0014614541468761417,0.0
地方,20,0.0014614541468761417,0.0
提供,20,0.0014614541468761417,0.0
民眾,20,0.0014614541468761417,0.0
訴訟法,20,0.0014614541468761417,4.0
造成,20,0.0014614541468761417,0.0
郵政,20,0.0014614541468761417,0.0
主管,19,0.0013883814395323347,0.0
劉,19,0.0013883814395323347,0.0
憲法,19,0.0013883814395323347,0.0
機構,19,0.0013883814395323347,0.0
用語,19,0.0013883814395323347,0.4
避免,19,0.0013883814395323347,0.0
原則,18,0.0013153087321885275,0.0
民主,18,0.0013153087321885275,0.0
維護,18,0.0013153087321885275,0.0
退休,18,0.0013153087321885275,0.0
權利,17,0.0012422360248447205,0.0
落實,17,0.0012422360248447205,0.0
項,17,0.0012422360248447205,0.0
影響,16,0.0011691633175009133,0.0
改善,16,0.0011691633175009133,0.0
更,16,0.0011691633175009133,0.0
法規,16,0.0011691633175009133,0.0
爭議,16,0.0011691633175009133,0.0
該,16,0.0011691633175009133,0.0
予以,15,0.0010960906101571063,0.0
同時,15,0.0010960906101571063,0.0
執行,15,0.0010960906101571063,0.0
監督,15,0.0010960906101571063,0.0
程序法,15,0.0010960906101571063,3.0
老人,15,0.0010960906101571063,0.0
行為,15,0.0010960906101571063,0.0
規範,15,0.0010960906101571063,0.0
解釋,15,0.0010960906101571063,0.0
適用,15,0.0010960906101571063,0.0
使,14,0.0010230179028132991,0.0
刑事,14,0.0010230179028132991,0.0
刑法,14,0.0010230179028132991,0.0
建議,14,0.0010230179028132991,0.0
有鑑於,14,0.0010230179028132991,0.0
條及,14,0.0010230179028132991,2.8000000000000003
目的,14,0.0010230179028132991,0.0
